Case,C_in,V_in,Area
dp84,2.379440345917869e-06,0.2675077775733751,55.47632933516093
dp85,2.613976452179413e-07,1.7270603524516739,41.58323164649921
dp86,3.263495004785561e-07,1.3570600388104768,27.11154877338079
dp87,1.920716541130821e-06,0.9332827951738734,32.65724892807348
dp88,8.463820447834832e-07,1.700604085798153,26.95616490767495
dp89,8.774540959451148e-07,1.4163842357708047,50.98097473085871
dp90,5.602515446582006e-07,1.1605712907046308,41.67555050021507
dp91,2.947368930129654e-08,1.5835494277035218,28.86282154434602
dp92,8.078591148250347e-07,1.21698370554672,53.92321861658012
dp93,2.006321689615435e-07,1.6074434897767538,38.63631231205125
dp94,9.242858189393114e-07,1.063102204727004,33.09787643345916
dp95,2.242552782340665e-06,0.7650226851682607,29.92547430077321
dp96,5.19228643516442e-07,1.4308339811495467,61.88531094618433
dp97,9.155603414562994e-08,1.964270569271535,66.34908061025035
dp98,2.23334860088258e-06,0.5855504486818606,37.38916445600764
dp99,3.929335320372744e-07,1.3959938808532233,48.44433794831459
dp100,3.181349583745689e-06,0.2103156120497127,46.03897360556314
dp101,3.455973238319362e-06,0.3409127402811588,50.74640237900904
dp102,1.753495258726203e-07,0.41729757222354646,31.46835199793725
dp103,7.17028207343564e-08,1.7030796418135146,41.99540767501924
dp104,5.908143912415148e-07,1.6962769574835856,40.16770139372038
dp105,2.174362832943554e-07,1.692633929312983,60.53612380516763
dp106,3.633438750523756e-07,1.3809841114638248,65.61085847804389
dp107,2.806299677484493e-07,1.3652178996619833,63.29050476093444
dp108,5.822951793273347e-07,1.1120506855739836,67.03411616532502
dp109,1.405568107505434e-06,1.1697214965346365,26.73857870642664
dp110,7.257975364424251e-07,1.4772713434647473,38.50794516015584
dp111,4.729489637745303e-06,0.3831244297857145,32.37774402192245
dp112,2.964698409824207e-07,1.759787423738223,30.71081082099483
dp113,1.830485051334276e-07,1.855505331451864,49.36386105170923
dp114,5.119520602234066e-06,0.20146274478392115,43.6515468489243
dp115,6.42276351504013e-07,0.9921943025738575,58.20888735470785
dp116,3.073179714457135e-07,1.009657822888768,54.44324895734747
dp117,7.679107121502573e-07,1.0007661777986991,44.66754733880594
dp118,3.619064825547465e-07,1.332118525608153,60.11246766486494
dp119,3.239423416213633e-07,1.2746282484239284,29.832482932421
dp120,1.731998834213948e-06,0.800768959081396,34.98051877527761
dp121,9.738699797905117e-07,0.6080316921738541,57.17431697740657
dp122,1.250581271430721e-06,0.8239835669120892,37.94703244352254
dp123,9.289891972706462e-07,1.0756548842705458,44.14692674107418
dp124,1.612847489009741e-06,0.7712680160712646,45.798528023901
dp125,8.992680456941079e-08,1.1146299411318474,44.49870241041018
dp126,2.980705284690229e-08,1.1441731314487615,47.98393439952562
dp127,7.234427344782654e-07,1.9899909146219261,25.99868615868648
dp128,8.554259358038769e-07,1.7876481264382726,29.06303808392056
dp129,1.839388027826981e-06,0.23197347712201866,61.98867791813364
dp130,4.386220201880792e-07,0.7143610819579937,43.31099050150368
dp131,1.029016687540757e-06,0.7867557103308009,59.62690490912974
dp132,5.002645873393401e-07,1.1493367075087613,33.74393289267652
dp133,6.089063280673848e-08,1.7145130613908068,60.30401342636851
dp134,3.303646130300779e-06,0.228401881720414,38.99224754588722
dp135,2.139748135600157e-07,0.6525779296236894,60.83784567353234
dp136,6.49349423928573e-07,1.2548032229702928,39.44783120217435
dp137,1.675380870766502e-06,1.4380744133828571,26.18345380269029
dp138,1.311409007346297e-06,0.3755330189910519,37.71076429789417
dp139,2.364939948629493e-06,0.7428864647820337,32.276022337378
dp140,1.769829478287382e-06,0.6858698142422192,26.39100451788635
dp141,1.078430462375651e-06,0.8170186693604682,23.58740582842479
dp142,1.35725814515911e-06,1.377742128165477,26.90012834730768
dp143,3.508672471954965e-06,0.4054599364513798,39.1820906124671
dp144,8.859296935505653e-07,0.9637832712128407,52.52841368177154
dp145,2.001091429922273e-06,0.32195027475449967,33.90035445738941
dp146,5.240069512296327e-07,0.5037319573595249,26.62564321635433
dp147,6.358963457895628e-08,1.7777553640690336,60.80070539059677
dp148,9.31348323178586e-08,1.9074443430897872,65.38812237884099
dp149,2.724445588752997e-07,1.9638037988660313,64.99655843849408
dp150,9.504606507050835e-08,0.4560170754390795,63.48457804248951
dp151,8.922766003020525e-07,1.049269804379033,33.52632112322314
dp152,4.096641348046924e-07,1.5267491816871492,27.35659920563457
dp153,1.169604258636828e-06,0.8675393126601489,48.96212023960943
dp154,2.543392654648299e-07,1.109715166522947,42.59989316079024
dp155,2.548785644210297e-07,1.104862760641117,67.56566095817114
dp156,9.70733618434021e-08,0.7381699301415912,51.23294926942076
dp157,1.080197325468232e-06,0.9051708169056882,51.16260265236587
dp158,7.802608292508611e-07,0.677703063426461,56.46075542445517
dp159,4.935669108493353e-07,1.2417153351772943,38.4471898303321
dp160,5.991936958790476e-07,1.423216537303891,31.59863289935639
dp161,1.577723016627384e-06,0.7038701845966016,53.57410760930781
dp162,5.000505541677423e-07,1.9703878656744647,44.39032014836167
dp163,6.120221398170864e-08,1.7166727921480027,28.02722300590374
dp164,2.458943992467692e-07,0.8468616290534334,25.62062417176365
dp165,8.732005630792445e-07,0.7312468944973525,38.3444024903265
dp166,2.078912261557915e-06,0.6553541387194157,49.57467385403979
dp167,1.459156547688869e-06,0.8302841940897374,45.67529231424528
